feature,importance
tri,0.2028085353885958
slope,0.17825632114574463
elevation,0.16822345165870742
clay,0.09801154412434987
sand,0.09738974300002437
aspect_cos,0.08209882920251478
curvature,0.08124379756766056
aspect_sin,0.07824390806210392
lc_30,0.00636556616175826
lc_10,0.0063381349314133445
lc_50,0.000908968180000635
lc_80,9.04396510846789e-05
lc_40,2.0760926041848846e-05
